cabinet_proportion,seats_proportion,caretaker,sq_cabinet,sq_pm,miw_proportion,banzhaf,shapley,splus,left_rightx,left_righty,prime_minister,party_count,post_election,enpp,mingov,bicameral,lag_largest_parl,lag_largest_cab,B,B_star,C,D,E
0,0.045845274,0,0,0,0.06666667,0.054545455,0.052380953,0.037114386,3.3733334,,0,7,1,4.293757,1,0,0,0,0,0,0,1,0
0.5,0.3968254,0,1,1,0.40000001,0.5,0.5,0.45831084,6.9444444,,1,5,1,3.6246576,0,0,1,1,1,0,0,0,0
0,0.083333336,0,0,0,0.11111111,0.07692308,0.06666667,0.051241543,1.5789474,,0,5,1,3.8961039,0,0,0,0,1,0,0,0,0
0,0.095238097,0,0,0,0.2,0.16666667,0.16666667,0.12125787,1.4473684,,0,5,1,3.454308,0,0,0,0,1,0,0,0,0
0.53333336,0.34999999,0,1,1,0.33333334,0.38461539,0.40000001,0.37944207,6.7105263,,1,5,1,3.8961039,0,0,1,1,1,0,0,0,0
0,0.36621824,0,1,1,0.2,0.16666667,0.16666667,0.14481552,6.1757778,6.7,0,6,1,3.3013034,0,1,0,1,1,0,0,0,0
0.21428572,0.091210611,0,1,0,0.33333334,0.33333334,0.33333334,0.25255474,2.8744444,2.8,0,6,1,3.376034,0,1,0,0,0,0,1,0,0
0,0.11666667,0,0,0,0.2,0.16666667,0.16666667,0.12029131,1.5789474,,0,5,1,3.8054969,0,0,0,0,1,0,0,0,0
0.5625,0.28415301,0,1,0,0.33333334,0.33333334,0.33333334,0.31424025,6.3666666,5.8,0,5,1,3.7280419,0,1,0,0,0,0,1,0,0
0,0.13333334,0,0,0,0.18181819,0.15384616,0.16666667,0.14841659,9.2444444,9.4,0,7,1,4.2347178,1,0,0,0,1,0,0,0,0
0.45454547,0.15873016,0,1,0,0.2,0.16666667,0.16666667,0.14102757,4.4444444,,0,5,1,3.7764034,0,0,0,0,1,0,0,0,0
0,0.0060606059,0,0,0,0.090909094,0.027027028,0.047619049,0.011187691,,,0,7,1,2.8921075,1,1,0,0,1,1,0,0,0
0,0.030120483,0,0,0,0.090909094,0.027027028,0.047619049,0.031348769,2.031579,,0,8,1,3.3368855,0,1,0,0,1,0,0,0,0
0,0.22404371,0,0,0,0.33333334,0.33333334,0.33333334,0.30255806,8.2955556,6.8,0,5,1,3.4858956,0,1,0,0,0,0,1,0,0
0,0.091304347,0,0,0,0.22222222,0.23076923,0.23333333,0.18752125,7.935,,0,5,1,3.13166,1,0,0,0,1,0,0,0,0
0,0.26857144,0,0,0,0.2631579,0.27586207,0.29523811,0.27029535,3.8689841,3.8,0,8,1,5.1061354,1,0,0,0,0,0,0,1,0
0.58823532,0.42076501,0,0,0,0.33333334,0.33333334,0.33333334,0.31720996,6.3666666,5.8,0,4,1,2.633404,0,1,0,0,0,0,1,0,0
0,0.057306591,0,0,0,0.11111111,0.050000001,0.06666667,0.051401526,3.3733334,,0,6,1,3.665062,1,0,0,0,1,1,0,0,0
